id1;category1;colour1;photo1;price1;id2;category2;colour2;photo2;price2;w
A13;1;1;1;28;A16;1;1;1;33;651
A13;1;1;1;28;B4;2;10;1;52;505
A13;1;1;1;28;B17;2;6;2;38;141
A13;1;1;1;28;B8;2;4;2;52;63
A13;1;1;1;28;C56;3;6;2;57;134
A13;1;1;1;28;C57;3;5;2;33;102
A13;1;1;1;28;P67;4;9;1;38;29
A13;1;1;1;28;P82;4;6;2;48;65
A16;1;1;1;33;B4;2;10;1;52;407
A16;1;1;1;33;B17;2;6;2;38;147
A16;1;1;1;33;B8;2;4;2;52;63
A16;1;1;1;33;C56;3;6;2;57;124
A16;1;1;1;33;C57;3;5;2;33;95
A16;1;1;1;33;P67;4;9;1;38;32
A16;1;1;1;33;P82;4;6;2;48;47
B4;2;10;1;52;B17;2;6;2;38;510
B4;2;10;1;52;B8;2;4;2;52;262
B4;2;10;1;52;C56;3;6;2;57;287
B4;2;10;1;52;C57;3;5;2;33;225
B4;2;10;1;52;P67;4;9;1;38;50
B4;2;10;1;52;P82;4;6;2;48;151
B17;2;6;2;38;B8;2;4;2;52;136
B17;2;6;2;38;C56;3;6;2;57;116
B17;2;6;2;38;C57;3;5;2;33;107
B17;2;6;2;38;P67;4;9;1;38;27
B17;2;6;2;38;P82;4;6;2;48;58
B8;2;4;2;52;C56;3;6;2;57;50
B8;2;4;2;52;C57;3;5;2;33;47
B8;2;4;2;52;P67;4;9;1;38;14
B8;2;4;2;52;P82;4;6;2;48;30
C56;3;6;2;57;C57;3;5;2;33;418
C56;3;6;2;57;P67;4;9;1;38;14
C56;3;6;2;57;P82;4;6;2;48;182
C57;3;5;2;33;P67;4;9;1;38;15
C57;3;5;2;33;P82;4;6;2;48;112
P67;4;9;1;38;P82;4;6;2;48;46
B31;2;9;1;57;B21;2;12;1;67;278
B31;2;9;1;57;B24;2;11;1;57;683
B31;2;9;1;57;B27;2;2;1;57;269
B31;2;9;1;57;A10;1;3;1;38;158
B31;2;9;1;57;P1;4;3;1;38;191
B31;2;9;1;57;P34;4;9;2;48;66
B31;2;9;1;57;P33;4;9;1;43;129
B21;2;12;1;67;B24;2;11;1;57;421
B21;2;12;1;67;B27;2;2;1;57;175
B21;2;12;1;67;A10;1;3;1;38;64
B21;2;12;1;67;P1;4;3;1;38;96
B21;2;12;1;67;P34;4;9;2;48;32
B21;2;12;1;67;P33;4;9;1;43;56
B24;2;11;1;57;B27;2;2;1;57;376
B24;2;11;1;57;A10;1;3;1;38;250
B24;2;11;1;57;P1;4;3;1;38;231
B24;2;11;1;57;P34;4;9;2;48;73
B24;2;11;1;57;P33;4;9;1;43;153
B27;2;2;1;57;A10;1;3;1;38;141
B27;2;2;1;57;P1;4;3;1;38;103
B27;2;2;1;57;P34;4;9;2;48;36
B27;2;2;1;57;P33;4;9;1;43;64
A10;1;3;1;38;P1;4;3;1;38;759
A10;1;3;1;38;P34;4;9;2;48;49
A10;1;3;1;38;P33;4;9;1;43;94
P1;4;3;1;38;P34;4;9;2;48;160
P1;4;3;1;38;P33;4;9;1;43;311
P34;4;9;2;48;P33;4;9;1;43;230
B17;2;6;2;38;C4;3;4;1;48;118
B17;2;6;2;38;C7;3;13;1;48;194
B17;2;6;2;38;C10;3;9;2;28;89
B17;2;6;2;38;C17;3;14;1;48;191
B17;2;6;2;38;P77;4;7;1;43;35
C4;3;4;1;48;C7;3;13;1;48;189
C4;3;4;1;48;C10;3;9;2;28;162
C4;3;4;1;48;C17;3;14;1;48;218
C4;3;4;1;48;P77;4;7;1;43;29
C7;3;13;1;48;C10;3;9;2;28;141
C7;3;13;1;48;C17;3;14;1;48;246
C7;3;13;1;48;P77;4;7;1;43;42
C10;3;9;2;28;C17;3;14;1;48;202
C10;3;9;2;28;P77;4;7;1;43;19
C17;3;14;1;48;P77;4;7;1;43;42
A34;1;2;1;38;A37;1;2;1;62;240
A34;1;2;1;38;C4;3;4;1;48;33
A34;1;2;1;38;C25;3;2;1;33;40
A37;1;2;1;62;C4;3;4;1;48;47
A37;1;2;1;62;C25;3;2;1;33;47
C4;3;4;1;48;C25;3;2;1;33;104
C7;3;13;1;48;C15;3;6;1;33;124
C7;3;13;1;48;C53;3;14;1;38;92
C7;3;13;1;48;B26;2;13;1;57;169
C15;3;6;1;33;C53;3;14;1;38;57
C15;3;6;1;33;B17;2;6;2;38;83
C15;3;6;1;33;B26;2;13;1;57;70
C53;3;14;1;38;B17;2;6;2;38;72
C53;3;14;1;38;B26;2;13;1;57;72
B17;2;6;2;38;B26;2;13;1;57;315
A11;1;3;1;62;C5;3;11;1;48;364
A11;1;3;1;62;P60;4;14;1;28;56
A11;1;3;1;62;P56;4;2;1;33;37
A11;1;3;1;62;P55;4;14;2;33;85
A11;1;3;1;62;P48;4;9;2;33;122
A11;1;3;1;62;P50;4;6;2;33;102
A11;1;3;1;62;P42;4;6;2;28;42
A11;1;3;1;62;P23;4;6;2;28;210
A11;1;3;1;62;P1;4;3;1;38;540
A11;1;3;1;62;B4;2;10;1;52;643
C5;3;11;1;48;P60;4;14;1;28;106
C5;3;11;1;48;P56;4;2;1;33;53
C5;3;11;1;48;P55;4;14;2;33;96
C5;3;11;1;48;P48;4;9;2;33;134
C5;3;11;1;48;P50;4;6;2;33;91
C5;3;11;1;48;P42;4;6;2;28;69
C5;3;11;1;48;P23;4;6;2;28;90
C5;3;11;1;48;P1;4;3;1;38;325
C5;3;11;1;48;B4;2;10;1;52;483
P60;4;14;1;28;P56;4;2;1;33;111
P60;4;14;1;28;P55;4;14;2;33;225
P60;4;14;1;28;P48;4;9;2;33;174
P60;4;14;1;28;P50;4;6;2;33;105
P60;4;14;1;28;P42;4;6;2;28;92
P60;4;14;1;28;P23;4;6;2;28;77
P60;4;14;1;28;P1;4;3;1;38;178
P60;4;14;1;28;B4;2;10;1;52;125
P56;4;2;1;33;P55;4;14;2;33;97
P56;4;2;1;33;P48;4;9;2;33;94
P56;4;2;1;33;P50;4;6;2;33;103
P56;4;2;1;33;P42;4;6;2;28;67
P56;4;2;1;33;P23;4;6;2;28;61
P56;4;2;1;33;P1;4;3;1;38;129
P56;4;2;1;33;B4;2;10;1;52;89
P55;4;14;2;33;P48;4;9;2;33;153
P55;4;14;2;33;P50;4;6;2;33;131
P55;4;14;2;33;P42;4;6;2;28;108
P55;4;14;2;33;P23;4;6;2;28;93
P55;4;14;2;33;P1;4;3;1;38;184
P55;4;14;2;33;B4;2;10;1;52;99
P48;4;9;2;33;P50;4;6;2;33;212
P48;4;9;2;33;P42;4;6;2;28;179
P48;4;9;2;33;P23;4;6;2;28;139
P48;4;9;2;33;P1;4;3;1;38;410
P48;4;9;2;33;B4;2;10;1;52;216
P50;4;6;2;33;P42;4;6;2;28;124
P50;4;6;2;33;P23;4;6;2;28;134
P50;4;6;2;33;P1;4;3;1;38;285
P50;4;6;2;33;B4;2;10;1;52;149
P42;4;6;2;28;P23;4;6;2;28;52
P42;4;6;2;28;P1;4;3;1;38;165
P42;4;6;2;28;B4;2;10;1;52;67
P23;4;6;2;28;P1;4;3;1;38;378
P23;4;6;2;28;B4;2;10;1;52;191
P1;4;3;1;38;B4;2;10;1;52;592
C49;3;4;2;26;B23;2;7;1;38;105
C49;3;4;2;26;C5;3;11;1;48;188
C49;3;4;2;26;C19;3;12;1;48;52
C49;3;4;2;26;C34;3;7;1;48;122
C49;3;4;2;26;C40;3;14;2;28;238
C49;3;4;2;26;C50;3;9;2;20;364
C49;3;4;2;26;C42;3;7;1;28;120
C49;3;4;2;26;B24;2;11;1;57;127
B23;2;7;1;38;C5;3;11;1;48;154
B23;2;7;1;38;C19;3;12;1;48;66
B23;2;7;1;38;C34;3;7;1;48;143
B23;2;7;1;38;C40;3;14;2;28;126
B23;2;7;1;38;C50;3;9;2;20;80
B23;2;7;1;38;C42;3;7;1;28;76
B23;2;7;1;38;B24;2;11;1;57;650
C5;3;11;1;48;C19;3;12;1;48;113
C5;3;11;1;48;C34;3;7;1;48;182
C5;3;11;1;48;C40;3;14;2;28;236
C5;3;11;1;48;C50;3;9;2;20;174
C5;3;11;1;48;C42;3;7;1;28;158
C5;3;11;1;48;B24;2;11;1;57;330
C19;3;12;1;48;C34;3;7;1;48;78
C19;3;12;1;48;C40;3;14;2;28;83
C19;3;12;1;48;C50;3;9;2;20;56
C19;3;12;1;48;C42;3;7;1;28;50
C19;3;12;1;48;B24;2;11;1;57;99
C34;3;7;1;48;C40;3;14;2;28;129
C34;3;7;1;48;C50;3;9;2;20;94
C34;3;7;1;48;C42;3;7;1;28;90
C34;3;7;1;48;B24;2;11;1;57;89
C40;3;14;2;28;C50;3;9;2;20;256
C40;3;14;2;28;C42;3;7;1;28;120
C40;3;14;2;28;B24;2;11;1;57;129
C50;3;9;2;20;C42;3;7;1;28;111
C50;3;9;2;20;B24;2;11;1;57;108
C42;3;7;1;28;B24;2;11;1;57;98
A18;1;4;1;38;A1;1;8;1;28;294
A18;1;4;1;38;B26;2;13;1;57;62
A1;1;8;1;28;B26;2;13;1;57;93
A1;1;8;1;28;B1;2;4;1;57;198
A1;1;8;1;28;B4;2;10;1;52;475
A1;1;8;1;28;B16;2;12;1;52;181
A1;1;8;1;28;B17;2;6;2;38;139
B1;2;4;1;57;B4;2;10;1;52;654
B1;2;4;1;57;B16;2;12;1;52;391
B1;2;4;1;57;B17;2;6;2;38;458
B4;2;10;1;52;B16;2;12;1;52;456
B16;2;12;1;52;B17;2;6;2;38;511
B4;2;10;1;52;B3;2;12;1;52;738
B4;2;10;1;52;B30;2;9;1;57;265
B4;2;10;1;52;B27;2;2;1;57;242
B4;2;10;1;52;C17;3;14;1;48;430
B4;2;10;1;52;P16;4;7;1;33;357
B3;2;12;1;52;B30;2;9;1;57;149
B3;2;12;1;52;B27;2;2;1;57;106
B3;2;12;1;52;C17;3;14;1;48;163
B3;2;12;1;52;P16;4;7;1;33;156
B30;2;9;1;57;B27;2;2;1;57;173
B30;2;9;1;57;C17;3;14;1;48;99
B30;2;9;1;57;P16;4;7;1;33;169
B27;2;2;1;57;C17;3;14;1;48;88
B27;2;2;1;57;P16;4;7;1;33;82
C17;3;14;1;48;P16;4;7;1;33;167
A1;1;8;1;28;A2;1;3;1;43;1215
A1;1;8;1;28;A5;1;3;1;43;853
A2;1;3;1;43;A5;1;3;1;43;1735
A1;1;8;1;28;B2;2;3;2;57;228
A1;1;8;1;28;B3;2;12;1;52;198
A1;1;8;1;28;B13;2;12;2;62;203
A1;1;8;1;28;B15;2;9;1;38;182
A1;1;8;1;28;B9;2;1;1;48;121
A1;1;8;1;28;B20;2;8;1;43;34
A1;1;8;1;28;B21;2;12;1;67;57
A1;1;8;1;28;B23;2;7;1;38;134
A1;1;8;1;28;B25;2;6;1;38;64
A1;1;8;1;28;B33;2;6;2;33;58
A1;1;8;1;28;B34;2;2;1;48;81
A1;1;8;1;28;C2;3;12;1;43;197
A1;1;8;1;28;C5;3;11;1;48;266
A1;1;8;1;28;C33;3;14;1;48;100
A1;1;8;1;28;C35;3;9;1;50;134
A1;1;8;1;28;C55;3;13;1;48;111
A1;1;8;1;28;C56;3;6;2;57;192
A1;1;8;1;28;C59;3;5;2;52;108
A2;1;3;1;43;B1;2;4;1;57;265
A2;1;3;1;43;B2;2;3;2;57;332
A2;1;3;1;43;B3;2;12;1;52;245
A2;1;3;1;43;B13;2;12;2;62;214
A2;1;3;1;43;B15;2;9;1;38;198
A2;1;3;1;43;B16;2;12;1;52;164
A2;1;3;1;43;B17;2;6;2;38;181
A2;1;3;1;43;B9;2;1;1;48;143
A2;1;3;1;43;B20;2;8;1;43;46
A2;1;3;1;43;B21;2;12;1;67;81
A2;1;3;1;43;B23;2;7;1;38;160
A2;1;3;1;43;B25;2;6;1;38;92
A2;1;3;1;43;B26;2;13;1;57;143
A2;1;3;1;43;B33;2;6;2;33;76
A2;1;3;1;43;B34;2;2;1;48;132
A2;1;3;1;43;C2;3;12;1;43;193
A2;1;3;1;43;C5;3;11;1;48;344
A2;1;3;1;43;C33;3;14;1;48;131
A2;1;3;1;43;C35;3;9;1;50;196
A2;1;3;1;43;C55;3;13;1;48;142
A2;1;3;1;43;C56;3;6;2;57;291
A2;1;3;1;43;C59;3;5;2;52;101
A5;1;3;1;43;B1;2;4;1;57;203
A5;1;3;1;43;B2;2;3;2;57;248
A5;1;3;1;43;B3;2;12;1;52;204
A5;1;3;1;43;B13;2;12;2;62;155
A5;1;3;1;43;B15;2;9;1;38;159
A5;1;3;1;43;B16;2;12;1;52;155
A5;1;3;1;43;B17;2;6;2;38;145
A5;1;3;1;43;B9;2;1;1;48;99
A5;1;3;1;43;B20;2;8;1;43;54
A5;1;3;1;43;B21;2;12;1;67;53
A5;1;3;1;43;B23;2;7;1;38;153
A5;1;3;1;43;B25;2;6;1;38;52
A5;1;3;1;43;B26;2;13;1;57;130
A5;1;3;1;43;B33;2;6;2;33;42
A5;1;3;1;43;B34;2;2;1;48;104
A5;1;3;1;43;C2;3;12;1;43;137
A5;1;3;1;43;C5;3;11;1;48;287
A5;1;3;1;43;C33;3;14;1;48;113
A5;1;3;1;43;C35;3;9;1;50;160
A5;1;3;1;43;C55;3;13;1;48;95
A5;1;3;1;43;C56;3;6;2;57;226
A5;1;3;1;43;C59;3;5;2;52;78
B1;2;4;1;57;B2;2;3;2;57;284
B1;2;4;1;57;B3;2;12;1;52;342
B1;2;4;1;57;B13;2;12;2;62;358
B1;2;4;1;57;B15;2;9;1;38;334
B1;2;4;1;57;B9;2;1;1;48;223
